==5568== NVPROF is profiling process 5568, command: ./spmv
==5568== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==5568== Profiling application: ./spmv
==5568== Profiling result:
==5568== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp1_read_sysmem_sector_queries (6 instances)",,,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp2_read_sysmem_sector_queries (6 instances)",,,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp3_read_sysmem_sector_queries (6 instances)",,,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp0_write_sysmem_sector_queries (6 instances)",,,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp1_write_sysmem_sector_queries (6 instances)",,,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp2_write_sysmem_sector_queries (6 instances)",,,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp3_write_sysmem_sector_queries (6 instances)",,,0,0,0,0,0,4
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp0_total_read_sector_queries (6 instances)",,,277372,327301,245761,327546,287198,316877
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp1_total_read_sector_queries (6 instances)",,,275971,327240,246769,327421,287266,317471
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp2_total_read_sector_queries (6 instances)",,,328218,275877,327832,247047,316803,287116
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp3_total_read_sector_queries (6 instances)",,,327408,277266,327817,247294,316874,286938
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp0_total_write_sector_queries (6 instances)",,,706,642,803,643,774,675
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp1_total_write_sector_queries (6 instances)",,,704,642,805,642,771,674
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp2_total_write_sector_queries (6 instances)",,,644,706,645,802,675,777
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l2_subp3_total_write_sector_queries (6 instances)",,,641,713,647,805,678,770
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"elapsed_cycles_sm (13 instances)",,,933281,933281,942141,942141,946245,946245,946245,945874,945874,945874,917486,917486,917486
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gld_inst_8bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gld_inst_16bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gld_inst_32bit (13 instances)",,,1394904,1386193,1397913,1398240,1420608,1414288,1403240,1439940,1404572,1411663,1383727,1378121,1376423
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gld_inst_64bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gld_inst_128bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gst_inst_8bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gst_inst_16bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gst_inst_32bit (13 instances)",,,1296,1296,1304,1304,1320,1320,1304,1320,1312,1304,1272,1272,1272
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gst_inst_64bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gst_inst_128bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_gld_inst_8bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_gld_inst_16bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_gld_inst_32bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_gld_inst_64bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"rocache_gld_inst_128bit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"prof_trigger_00 (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"prof_trigger_01 (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"prof_trigger_02 (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"prof_trigger_03 (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"prof_trigger_04 (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"prof_trigger_05 (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"prof_trigger_06 (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"prof_trigger_07 (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"atom_cas_count (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"warps_launched (13 instances)",,,1296,1288,1312,1312,1320,1312,1304,1312,1312,1304,1272,1280,1272
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"threads_launched (13 instances)",,,41472,41216,41984,41984,42240,41984,41728,41984,41984,41728,40704,40960,40704
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"inst_executed (13 instances)",,,285791,284472,289078,291435,291164,289641,287655,289551,289935,287646,280167,281897,280892
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"inst_issued1 (13 instances)",,,571840,572969,584335,580590,582284,582597,583662,583311,583132,583478,564604,566693,568849
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"inst_issued2 (13 instances)",,,61828,61613,63136,62403,62784,62711,62562,63127,62831,62431,61204,61274,61279
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"thread_inst_executed (13 instances)",,,7605782,7587888,7801198,7667828,7737894,7726600,7690414,7771038,7731684,7695898,7537088,7549598,7554168
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"shared_load (13 instances)",,,14168,14168,14432,14344,14432,14432,14344,14520,14432,14344,14080,14080,14080
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"shared_store (13 instances)",,,7824,7824,7824,7872,7872,7824,7824,7872,7872,7824,7632,7680,7632
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"local_load (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"local_store (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gld_request (13 instances)",,,46562,46842,47176,47077,47390,47447,47314,47706,47721,48177,46080,45954,45852
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gst_request (13 instances)",,,1288,1296,1304,1304,1312,1312,1304,1320,1320,1320,1272,1272,1272
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"active_cycles (13 instances)",,,862942,929322,869847,875184,871499,871262,870818,870172,871157,874469,839948,849490,849967
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"active_warps (13 instances)",,,49676038,48540044,47836616,49837824,49550856,47717588,50205700,49495006,50228150,48834784,46725200,49152956,47330326
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"sm_cta_launched (13 instances)",,,161,162,163,163,164,164,163,165,165,165,159,159,159
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"not_predicated_off_thread_inst_executed (13 instances)",,,7350450,7406128,7442374,7428604,7475790,7468710,7446296,7525766,7524008,7589428,7266730,7256254,7239562
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l1_local_load_hit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l1_local_load_miss (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l1_local_store_hit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l1_local_store_miss (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l1_global_load_hit (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l1_global_load_miss (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"uncached_global_load_transaction (13 instances)",,,384836,387800,395042,389839,393225,392496,387210,393829,392907,387136,384761,382642,381206
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"global_store_transaction (13 instances)",,,1304,1296,1320,1304,1312,1312,1304,1312,1296,1288,1288,1280,1280
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"shared_load_replay (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"shared_store_replay (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"global_ld_mem_divergence_replays (13 instances)",,,342554,341047,347259,342933,344790,344781,343057,344712,340897,337992,338670,336614,336325
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"global_st_mem_divergence_replays (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"local_load_transactions (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"local_store_transactions (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l1_shared_load_transactions (13 instances)",,,14256,14168,14432,14432,14520,14432,14344,14432,14432,14344,13992,14080,13992
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"l1_shared_store_transactions (13 instances)",,,7728,7728,7872,7824,7872,7872,7824,7920,7872,7824,7680,7680,7680
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"__l1_global_load_transactions (13 instances)",,,414653,416289,423516,422182,422558,423168,424786,422774,423316,424824,408931,411034,412965
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"__l1_global_store_transactions (13 instances)",,,1288,1288,1312,1304,1312,1312,1304,1320,1312,1304,1280,1280,1280
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"atom_count (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tesla K80 (0)","spmv_kernel(float const *, int const *, int const *, float const *, int, float*)",1,"gred_count (13 instances)",,,0,0,0,0,0,0,0,0,0,0,0,0,0
